date,XLV,XLF,XLE,AMLP,VFH,GDX,XLU
2018-04-24,81.74,27.66,72.93,10.05,69.87,22.69,50.67
2018-04-23,82.41,27.85,73.75,10.25,70.16,22.41,50.33
2018-04-20,82.09,27.88,73.3,10.02,70.18,22.71,50.3
2018-04-19,82.53,27.87,73.65,10.03,70.07,23.06,50.76
2018-04-18,83.23,27.45,73.56,10.2,69.09,22.98,50.79
2018-04-17,83.16,27.58,72.42,10.25,69.34,22.93,50.98
2018-04-16,82.52,27.58,72.14,10.1,69.45,22.8,50.47
2018-04-13,81.87,27.46,71.41,9.69,69.12,22.89,49.79
2018-04-12,81.91,27.88,70.63,9.69,70.12,22.47,49.4
2018-04-11,81.36,27.4,70.64,9.76,68.99,22.75,50.06
2018-04-10,82.03,27.73,69.91,9.62,69.73,22.26,50.13
2018-04-09,80.67,27.32,67.67,9.37,68.66,21.98,50.52
2018-04-06,79.88,27.17,67.35,9.35,68.45,22.07,50.42
2018-04-05,81.85,27.84,68.59,9.49,70.07,21.97,50.82
2018-04-04,81.91,27.62,67.38,9.35,69.6,21.87,50.42
2018-04-03,80.76,27.33,67.47,9.37,68.85,21.91,50.31
2018-04-02,79.55,26.96,66.06,9.3,67.98,22.23,50.14
2018-03-29,81.4,27.57,67.41,9.37,69.47,21.98,50.53
2018-03-28,80.79,27.2,66.02,9.25,68.59,21.66,50.26
2018-03-27,80.36,27.15,67.33,9.24,68.4,21.99,50.28
2018-03-26,81.32,27.69,67.97,9.34,69.73,22.44,49.57
2018-03-23,79.67,26.82,66.77,9.31,67.61,22.12,49.06
2018-03-22,81.36,27.66,67.18,9.38,69.7,21.5,49.76
2018-03-21,83.77,28.72,68.58,9.63,72.24,21.86,49.54
2018-03-20,84.13,28.73,66.83,9.45,72.22,21.27,49.71
2018-03-19,84.01,28.66,66.27,9.52,72.12,21.51,49.94
2018-03-16,85.39,28.87,67.31,9.89,72.59,21.43,50.25
2018-03-15,85.39,28.85,66.72,9.74,72.45,21.45,49.81
2018-03-14,85.53,28.84,67.06,10.26,72.4,21.73,49.84
2018-03-13,85.95,29.16,67.46,10.43,73.25,21.67,49.34
2018-03-12,85.84,29.49,67.95,10.44,73.96,21.76,49.23
2018-03-09,86.21,29.59,67.97,10.21,74.17,21.57,49.02
2018-03-08,84.98,28.89,66.7,10.02,72.52,21.65,48.88
2018-03-07,84.41,28.81,66.72,10.09,72.41,21.57,48.52
2018-03-06,83.98,28.85,67.22,10.15,72.45,22.01,48.89
2018-03-05,84.1,28.74,67.18,10.21,72.06,21.65,49.56
2018-03-02,83.35,28.34,66.48,10.15,71.07,21.49,48.56
2018-03-01,82.51,28.27,66.17,10.17,70.74,21.57,48.69
2018-02-28,83.85,28.77,66.27,10.1,71.78,21.35,48.68
