Stock,Index,Beta,Corr
SGEN,IBB,1.2435994248101443,0.9124001948575009
REGN,IBB,0.8941578127784818,0.9482391644509313
ALXN,IBB,0.8894156928116349,0.8857520250395943
PTLA,SPY,1.7751027239708572,0.9760356913789199
EXAS,SPY,1.5931460397584387,0.9161669067825028
XON,SPY,1.586820096823868,0.9513886779043838
ALGN,SPY,1.552393775235135,0.9620256178121662
MDCO,SPY,1.5379916726214595,0.9746596477472758
HALO,SPY,1.525909567523425,0.9688569825240461
VRTX,SPY,1.445233758082484,0.9706380843383794
EXEL,SPY,1.4051256467342665,0.9505587948947471
CORT,SPY,1.3333952779049538,0.8711757479051336
INCY,SPY,1.3288449076529083,0.9387575240181053
ILMN,SPY,1.3140435868659917,0.9629210315366694
IMMU,SPY,1.2878503503049372,0.8791820524963345
IDXX,SPY,1.2845784573517471,0.9781065392998748
ATHN,SPY,1.2511381478244323,0.9527445839143217
CELG,SPY,1.2095890297431537,0.9783546368378241
PRAH,SPY,1.1978449801420101,0.9751906749760998
ISRG,SPY,1.1545255306440154,0.9790502295110595
CMD,SPY,1.1325468299037578,0.947386316451292
BIIB,SPY,1.1298860012615313,0.9525640709305682
MYGN,SPY,1.12113314084167,0.9433305434654334
SYNH,SPY,1.1207113534680313,0.9460320040443257
CRSP,SPY,1.0724796825843794,0.714809329444461
TDOC,SPY,1.0605121235859085,0.8045899756572737
ABT,SPY,1.051908229963168,0.9837282962521724
GILD,SPY,1.0491189201972213,0.9802255846994296
THC,SPY,1.047932334382219,0.8788257169984023
BSX,SPY,1.0369166559236862,0.9751471509126259
SYK,SPY,1.02108224590638,0.9824853816115138
PEN,SPY,1.0192776170715352,0.8893761284787769
HZNP,SPY,1.010617410151952,0.9864577267821295
ABMD,SPY,0.9809202112148445,0.9402263291872048
RMD,SPY,0.9713872944209624,0.9859805760814466
UTHR,SPY,0.968012281658407,0.9326236967933589
ZTS,SPY,0.9657998723723918,0.9618703595100978
AGN,SPY,0.9514212742458037,0.945236484660446
