Company Name,Ticker,Optionable,Market Cap ,Avg Volume,Sector,Industry,Last Close,Beta,52 Week High,52 Week Low
"Agilent Technologies, Inc.",A,YES,21950.94,2423837.25,Computer and Technology,Electronics - Testing Equipment,68.07,1.31,74.82,53.27
Alcoa Corp.,AA,YES,9662.51,5322009,Industrial Products,Metal Products - Distribution,51.9,0.27,60.23,29.69
Advanced Accelerator Applications S.A.,AAAP,YES,3589.76,0,Medical,Medical - Drugs,81.63,0.69,82.32,35.54
Altaba Inc.,AABA,YES,61040.39,7313845,Finance,Financial - Investment Management,69.89,1.95,80.3,47.52
"AAC Holdings, Inc.",AAC,YES,264.79,77717.25,Medical,Medical - Outpatient and Home Healthcare,11.08,1.36,12.87,6.05
American Airlines Group Inc.,AAL,YES,22086.11,5254843,Transportation,Transportation - Airline,46.68,0.96,58.47,42.08
"Aaron's,  Inc.",AAN,YES,3168.18,596023.81,Retail-Wholesale,Retail - Consumer Electronics,45.21,0.05,48.89,30.71
"Applied Optoelectronics, Inc.",AAOI,YES,632.99,1300741.25,Computer and Technology,Electronics - Semiconductors,32.46,2.63,99.61,23.65
"AAON, Inc.",AAON,YES,1900.58,185190.41,Construction,Building Products - Air Conditioner and Heating,36.25,0.77,39.25,31.65
"Advance Auto Parts, Inc.",AAP,YES,7806.17,1060419.38,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,105.52,1.04,151.47,79.38
Apple Inc.,AAPL,YES,838429.94,30959958,Computer and Technology,Computer - Mini computers,165.24,1.25,181.72,142.27
"American Assets Trust, Inc.",AAT,YES,1531.79,305653.75,Finance,REIT and Equity Trust - Retail,32.45,0.41,44.18,31.72
Advantage Oil & Gas Ltd,AAV,YES,604.5,379020.56,Oils-Energy,Oil and Gas - Drilling,3.25,0.64,7.3,2.75
Atlas Air Worldwide Holdings,AAWW,YES,1627.01,190535.8,Transportation,Transportation - Air Freight and Cargo,63.65,1.24,68.25,46.05
"Axon Enterprise, Inc",AAXN,YES,2278.34,843913.81,Industrial Products,Security and Safety Services,42.74,0.78,43.1,21.12
AllianceBernstein Holding L.P.,AB,YES,2532.13,262580.31,Finance,Financial - Investment Management,26.25,1.46,27.85,20.6
"Abaxis,Inc.",ABAX,YES,1645.83,109321.9,Medical,Medical - Products,72.51,1.16,76,43.82
ABB Ltd,ABB,YES,51668.72,2754964,Industrial Products,Manufacturing - Electronics,24.16,1.16,28.6,22.28
AbbVie Inc.,ABBV,YES,147951.44,6559389.5,Medical,Large Cap Pharmaceuticals,93.17,1.61,123.21,63.82
AmerisourceBergen Corporation,ABC,YES,19932.77,1619018.75,Medical,Medical - Dental Supplies,90.74,1.06,105.48,73.23
Ameris Bancorp,ABCB,YES,1996.66,205593.05,Finance,Banks - Southeast,52.1,1.21,58.1,41.4
Alcentra Capital Corp.,ABDC,YES,93.05,73676.8,Finance,Financial - SBIC & Commercial Industry,6.55,0.57,14.49,6.11
Abeona Therapeutics Inc.,ABEO,YES,944.54,1125233.75,Medical,Medical - Biomedical and Genetics,20,1.29,20.9,4.7
